,Station Name,City,State,Network,Pricing,Open Date
22332,Sheetz - Tesla Supercharger,Brooklyn,OH,Tesla,Free,2021-12-29
22331,Wyandot Service Plaza - Tesla Supercharger,Genoa,OH,Tesla,Free,2021-12-29
22319,MB ONTARIO GW-RFID-DUAL-18,Ontario,CA,ChargePoint Network,Free,2021-12-29
22309,FLEET MGMT 5TH AVE 06,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22327,MBZOXNARD FAST CHARGE 1,Oxnard,CA,ChargePoint Network,Free,2021-12-29
25556,Mohawk Honda Collision Center Inside,Schenectady,NY,LIVINGSTON,Free,2021-12-29
22311,FLEET MGMT 5TH AVE 02,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22316,FLEET MGMT UNIVERSITY 04,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22315,FLEET MGMT UNIVERSITY 02,Gainesville,FL,ChargePoint Network,Free,2021-12-29
26134,Archangel Michael Coptic Church,Simi Valley,CA,Blink Network,$0.29/kWh Energy Fee,2021-12-29
22314,FLEET MGMT UNIVERSITY 05,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22313,FLEET MGMT 5TH AVE 03,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22312,FLEET MGMT 5TH AVE 01,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22318,FLEET MGMT UNIVERSITY 01,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22317,FLEET MGMT UNIVERSITY 03,Gainesville,FL,ChargePoint Network,Free,2021-12-29
34790,Building 11,Irving,TX,Blink Network,Free,2021-12-29
22325,TOWNOFSUTTON1 STATION 2,Sutton,MA,ChargePoint Network,Free,2021-12-29
22324,MARRIOTTSS STATION 2,Saratoga Springs,NY,ChargePoint Network,Free,2021-12-29
22323,MARRIOTTSS STATION 1,Saratoga Springs,NY,ChargePoint Network,Free,2021-12-29
22310,FLEET MGMT 5TH AVE 04,Gainesville,FL,ChargePoint Network,Free,2021-12-29
22326,FORTIRWINDPW LRC-861-01,Fort Irwin,CA,ChargePoint Network,Free,2021-12-29
25534,The Heathcote Scarsdale,Scarsdale,NY,LIVINGSTON,Free,2021-12-30
25506,The Ridge - Lot A,Troy,NY,LIVINGSTON,Free,2021-12-30
25507,The Ridge - Lot B,Troy,NY,LIVINGSTON,Free,2021-12-30
36947,UCSD - P707 DCFC,La Jolla,CA,ChargePoint Network,$0.30-0.35/kWh and $0.30/kWh on weekends,2021-12-30
22450,Vista Centre Shoppes - Tesla Supercharger,Orlando,FL,Tesla,Free,2021-12-30
22337,RELATED BEAL HARRISON-P1ST2,Boston,MA,ChargePoint Network,Free,2021-12-30
22344,4th & Madison,Seattle,WA,Blink Network,Free,2021-12-30
22343,"Westfield Topanga (Canoga Park, CA)",Canoga Park,CA,Electrify America,Free,2021-12-30
22341,ICON GARAGE ICONBRICKELL 4,Miami,FL,ChargePoint Network,Free,2021-12-30
22335,GENERATOR SHED GENERATOR SHED,Fort Bragg,CA,ChargePoint Network,Free,2021-12-30
22342,EVolve NY Binghamton,Binghamton,NY,Electrify America,Free,2021-12-30
22339,PARMER WEST 1 EV CHARGER #2,Rancho Cordova,CA,ChargePoint Network,Free,2021-12-30
22451,Lakehills Plaza - Tesla Supercharger,Austin,TX,Tesla,Free,2021-12-30
22338,PARMER WEST 1 EV CHARGER #1,Rancho Cordova,CA,ChargePoint Network,Free,2021-12-30
22340,PARMER WEST 1 EV CHARGER #3,Rancho Cordova,CA,ChargePoint Network,Free,2021-12-30
22336,HOSELTONCHEVY01 STATION 1,East Rochester,NY,ChargePoint Network,Free,2021-12-30
23542,Safeway 19245 10th Ave Ne Poulsbo WA 98370,Poulsbo,WA,Volta,Free,2021-12-31
22351,PLUG IN ERIE ECP NORTH,Erie,CO,ChargePoint Network,Free,2021-12-31
22346,HOSPITAL DHDH 02,Santa Cruz,CA,ChargePoint Network,Free,2021-12-31
22347,CPW GARAGE CPW GARAGE #1,Los Angeles,CA,ChargePoint Network,Free,2021-12-31
22348,CPW GARAGE CPW GARAGE #3,Los Angeles,CA,ChargePoint Network,Free,2021-12-31
22349,"STC VENTURE EV2-CT 22,24",Sunnyvale,CA,ChargePoint Network,Free,2021-12-31
22350,BERTHOUD REC CPE250,Berthoud,CO,ChargePoint Network,Free,2021-12-31
22352,PLUG IN ERIE ECP SOUTH,Erie,CO,ChargePoint Network,Free,2021-12-31
22452,Muir Station Shopping Center - Tesla Supercharger,Martinez,CA,Tesla,Free,2021-12-31
22355,CCC STATION 8,Sacramento,CA,ChargePoint Network,Free,2022-01-01
22354,CA COMPACTION STATION 1,Lancaster,CA,ChargePoint Network,Free,2022-01-01
22357,UCSD CP-NV WST DC1-2,La Jolla,CA,ChargePoint Network,Free,2022-01-01
22358,UCSD CP-NV WST DC1-1,La Jolla,CA,ChargePoint Network,Free,2022-01-01
23272,Anaheim La Palma Mall,Anaheim,CA,Non-Networked,$0.45 per kWh,2022-01-01
23274,Anaheim La Palma Mall,Anaheim,CA,Non-Networked,$0.45 per kWh,2022-01-01
22356,AEG STEM,Springfield,MA,ChargePoint Network,Free,2022-01-01
34792,Mountain View Innovation Campus Bld 1,Broomfield,CO,Blink Network,Free,2022-01-04
34794,BAH - Ball Aerospace,Broomfield,CO,Blink Network,Free,2022-01-04
22369,LAKEWOOD MADISON PARK,Lakewood,OH,ChargePoint Network,Free,2022-01-04
22368,CPU DC STATION 2,Vancouver,WA,ChargePoint Network,Free,2022-01-04
22367,CPU DC STATION 1,Vancouver,WA,ChargePoint Network,Free,2022-01-04
22366,BUTLER GARAGE BUTLER EV #2,Seattle,WA,ChargePoint Network,Free,2022-01-04
22364,INNOVATION SQ INNOVATION SQ 2,Boston,MA,ChargePoint Network,Free,2022-01-04
22363,INNOVATION SQ INNOVATION SQ 1,Boston,MA,ChargePoint Network,Free,2022-01-04
22362,INNOVATION SQ INNOVATION SQ 6,Boston,MA,ChargePoint Network,Free,2022-01-04
22361,INNOVATION SQ INNOVATION SQ 5,Boston,MA,ChargePoint Network,Free,2022-01-04
34793,Mountain View Innovation Campus Bld 2,Broomfield,CO,Blink Network,Free,2022-01-04
34190,Villa Sole,North miami,FL,Blink Network,Free,2022-01-04
22360,INNOVATION SQ INNOVATION SQ 3,Boston,MA,ChargePoint Network,Free,2022-01-04
22359,INNOVATION SQ INNOVATION SQ 7,Boston,MA,ChargePoint Network,Free,2022-01-04
22365,BUTLER GARAGE BUTLER EV #1,Seattle,WA,ChargePoint Network,Free,2022-01-04
34251,One Palm,Sarasota,FL,Blink Network,Free,2022-01-04
34796,Mave Apartments,Stoneham,MA,Blink Network,Free,2022-01-05
22375,Mission Bay Park Bonita Cove,San Diego,CA,Blink Network,Free,2022-01-05
34303,Radius on Grove,Austin,TX,Blink Network,Free,2022-01-05
22371,MINNEAPOLIS HAAF RAMP L2-3,Minneapolis,MN,ChargePoint Network,Free,2022-01-05
22372,NEIGHBORHOOD STATION1,Methuen,MA,ChargePoint Network,Free,2022-01-05
22373,LOT 3 #2,Snowmass Village,CO,ChargePoint Network,Free,2022-01-05
22374,HUNTINGTON 8220 OH-16,Blacklick,OH,ChargePoint Network,Free,2022-01-05
22377,Piermont Village,Piermont,NY,SHELL_RECHARGE,Free,2022-01-06
25565,Castle Apartments,Port Chester,NY,LIVINGSTON,Free,2022-01-06
25566,Scarsdale Golf Club,Hartsdale,NY,LIVINGSTON,Free,2022-01-06
26730,Heritage Village Offices,Campbell,CA,EVMATCH,$0.38 per kWh,2022-01-06
25539,War Cannon,Crown Point,NY,LIVINGSTON,Free,2022-01-06
25564,The Kensington at Halfmoon,Clifton Park,NY,LIVINGSTON,Free,2022-01-07
22404,FIG GARDEN FGFC STATION 5,Fresno,CA,ChargePoint Network,Free,2022-01-07
22395,FIG GARDEN FGFC STATION 19,Fresno,CA,ChargePoint Network,Free,2022-01-07
22406,FIG GARDEN FGFC STATION 8,Fresno,CA,ChargePoint Network,Free,2022-01-07
22407,FORTIRWINDPW MWRLIB-333-01,Fort Irwin,CA,ChargePoint Network,Free,2022-01-07
22408,TRIHEALTH GSH2,Cincinnati,OH,ChargePoint Network,Free,2022-01-07
22409,TRIHEALTH GSH,Cincinnati,OH,ChargePoint Network,Free,2022-01-07
22381,DC CORRIDOR TARGETPDALE L2,Palmdale,CA,ChargePoint Network,Free,2022-01-07
22410,TRIHEALTH BNH,Montgomery,OH,ChargePoint Network,Free,2022-01-07
22411,TRIHEALTH MHMH,Oxford,OH,ChargePoint Network,Free,2022-01-07
22412,TRIHEALTH BBH,Hamilton,OH,ChargePoint Network,Free,2022-01-07
22380,GCEA EV STATION PITKIN EV,Pitkin,CO,ChargePoint Network,Free,2022-01-07
22413,CITY OF XENIA CITY OF XENIA 2,Xenia,OH,ChargePoint Network,Free,2022-01-07
22414,CITY OF XENIA CITY OF XENIA 1,Xenia,OH,ChargePoint Network,Free,2022-01-07
22415,ALISTER SQUARE2 ALISTER UNIT 2,Port Aransas,TX,ChargePoint Network,Free,2022-01-07
22416,ALISTER SQUARE2 ALISTER UNIT 1,Port Aransas,TX,ChargePoint Network,Free,2022-01-07
22417,CPSE-SATX VIA BROOKS GW 1,San Antonio,TX,ChargePoint Network,Free,2022-01-07
22379,CITY OF WILLITS PARKING LOT 01,Willits,CA,ChargePoint Network,Free,2022-01-07
22378,ATRIUM STATION 1,San Mateo,CA,ChargePoint Network,Free,2022-01-07
22418,CPSE-SATX VIA BROOKS GW 2,San Antonio,TX,ChargePoint Network,Free,2022-01-07
22419,"Musich - Crystal Springs Village SC (San Mateo, CA",San Mateo,CA,Electrify America,Free,2022-01-07
34285,AVE Tampa Riverwalk,Tampa,FL,Blink Network,Free,2022-01-07
22382,TOWN OF NATICK KMS #1,Natick,MA,ChargePoint Network,Free,2022-01-07
22383,MASSDOT WHATELY 2,Whately,MA,ChargePoint Network,Free,2022-01-07
22405,FIG GARDEN FGFC STATION 10,Fresno,CA,ChargePoint Network,Free,2022-01-07
22403,FIG GARDEN FGFC STATION 9,Fresno,CA,ChargePoint Network,Free,2022-01-07
22396,FIG GARDEN FGFC STATION 6,Fresno,CA,ChargePoint Network,Free,2022-01-07
22394,FIG GARDEN FGFC STATION 11,Fresno,CA,ChargePoint Network,Free,2022-01-07
22393,FIG GARDEN FGFC STATION 16,Fresno,CA,ChargePoint Network,Free,2022-01-07
22392,FIG GARDEN FGFC STATION 15,Fresno,CA,ChargePoint Network,Free,2022-01-07
22391,FIG GARDEN FGFC STATION 18,Fresno,CA,ChargePoint Network,Free,2022-01-07
22390,FIG GARDEN FGFC STATION 12,Fresno,CA,ChargePoint Network,Free,2022-01-07
22389,FIG GARDEN FGFC STATION 13,Fresno,CA,ChargePoint Network,Free,2022-01-07
23175,Woodland Landings,Magnolia,TX,Blink Network,$1.50-$5.00/Hr Variable Parking Fee,2022-01-07
22397,FIG GARDEN FGFC STATION 1,Fresno,CA,ChargePoint Network,Free,2022-01-07
22388,FIG GARDEN FGFC STATION 20,Fresno,CA,ChargePoint Network,Free,2022-01-07
22386,LOT 3 TOSV-RODEO LOT,Aspen,CO,ChargePoint Network,Free,2022-01-07
22385,NEIGHBORHOOD STATION2,Methuen,MA,ChargePoint Network,Free,2022-01-07
22384,INNOVATION SQ INNOVATION SQ 4,Boston,MA,ChargePoint Network,Free,2022-01-07
22398,FIG GARDEN FGFC STATION 3,Fresno,CA,ChargePoint Network,Free,2022-01-07
22399,FIG GARDEN FGFC STATION 4,Fresno,CA,ChargePoint Network,Free,2022-01-07
22400,FIG GARDEN FGFC STATION 17,Fresno,CA,ChargePoint Network,Free,2022-01-07
22401,FIG GARDEN FGFC STATION 7,Fresno,CA,ChargePoint Network,Free,2022-01-07
22402,FIG GARDEN FGFC STATION 2,Fresno,CA,ChargePoint Network,Free,2022-01-07
22387,FIG GARDEN FGFC STATION 14,Fresno,CA,ChargePoint Network,Free,2022-01-07
22436,APPEL CHARGING AF SERVICE,Brenham,TX,ChargePoint Network,Free,2022-01-08
22423,AVC MISSION EV 02,LANCASTER,CA,ChargePoint Network,Free,2022-01-08
22424,SANTANA ROW P2 STATION 15,San Jose,CA,ChargePoint Network,Free,2022-01-08
22425,"LODI, CA EV LODI FINANCE",Lodi,CA,ChargePoint Network,Free,2022-01-08
22426,"LODI, CA EV HUTCHINS 1",Lodi,CA,ChargePoint Network,Free,2022-01-08
22427,SANTANA ROW B1 STATION 13,San Jose,CA,ChargePoint Network,Free,2022-01-08
22428,SANTANA ROW B1 STATION 14,San Jose,CA,ChargePoint Network,Free,2022-01-08
22437,CENTURY PARK 2029 EV 52-53,Los Angeles,CA,ChargePoint Network,Free,2022-01-08
22422,DEPOT EAST LOT DC #2,San Bernardino,CA,ChargePoint Network,Free,2022-01-08
22430,MTS SHOP CHARGER,Vallejo,CA,ChargePoint Network,Free,2022-01-08
22432,IONIQ INSIDE,Yorkville,NY,ChargePoint Network,Free,2022-01-08
22433,AUB CHERRY MAG 03,Auburn,CA,ChargePoint Network,Free,2022-01-08
22434,IRVINE COMPANY STA CLRA SQ 03,Santa Clara,CA,ChargePoint Network,Free,2022-01-08
22429,FAST FUEL 2 STATION 1,Olympia,WA,ChargePoint Network,Free,2022-01-08
22447,CITY OF NEWTON NHS WALNUT ST 2,Newton,MA,ChargePoint Network,Free,2022-01-08
22446,CITY OF NEWTON NHS WALNUT ST 1,Newton,MA,ChargePoint Network,Free,2022-01-08
22435,CENTURY PARK 2029 EV 50-51,Los Angeles,CA,ChargePoint Network,Free,2022-01-08
22444,CITY OF NEWTON NHS LOWELL AV 1,Newton,MA,ChargePoint Network,Free,2022-01-08
22438,PASO VERDE PASO VERDE 002,Sacramento,CA,ChargePoint Network,Free,2022-01-08
22439,RELATED BEAL HARRISON-P1ST4,Boston,MA,ChargePoint Network,Free,2022-01-08
22445,CITY OF NEWTON NHS LOWELL AV#2,Newton,MA,ChargePoint Network,Free,2022-01-08
22441,CITY OF NEWTON LIBRARY #1,Newton,MA,ChargePoint Network,Free,2022-01-08
22440,CITY OF NEWTON LIBRARY #2,Newton,MA,ChargePoint Network,Free,2022-01-08
22442,CITY OF NEWTON LIBRARY #3,Newton,MA,ChargePoint Network,Free,2022-01-08
22443,CITY OF NEWTON LIBRARY #4,Newton,MA,ChargePoint Network,Free,2022-01-08
22431,IONIQ OUTSIDE,Yorkville,NY,ChargePoint Network,Free,2022-01-08
22504,Hilton Garden Inn - Union Station,Denver,CO,ChargePoint Network,Free,2022-01-10
22448,HOMEWOOD SUITES HOMEWOOD #1,Issaquah,WA,ChargePoint Network,Free,2022-01-10
22521,Llano Possibilities - Tesla Supercharger,Llano,TX,Tesla,Free,2022-01-10
22522,Canoe Creek Service Plaza - Tesla Supercharger,Saint Cloud,FL,Tesla,Free,2022-01-10
22523,Sunrise Plaza - Tesla Supercharger,Brooksville,FL,Tesla,Free,2022-01-10
22449,TOWN OF NATICK KMS #2,Natick,MA,ChargePoint Network,Free,2022-01-10
22525,Mansfield Market Center,Mansfield,TX,Volta,Free,2022-01-11
22459,RIVIERA W1 WILL CALL,West Palm Beach,FL,ChargePoint Network,Free,2022-01-11
22461,AUB CHERRY MAG 04,Auburn,CA,ChargePoint Network,Free,2022-01-11
22458,UNIV ST THOMAS TOMMIE 5,Saint Paul,MN,ChargePoint Network,Free,2022-01-11
22457,ALLUVION EV ALLUVION EV2,Fort Lauderdale,FL,ChargePoint Network,Free,2022-01-11
22456,ALLUVION EV ALLUVION EV1,Fort Lauderdale,FL,ChargePoint Network,Free,2022-01-11
22524,Doral Commons,Doral,FL,Volta,Free,2022-01-11
22532,Stop & Shop #085 - Worcester,Worcester,MA,Volta,Free,2022-01-11
22527,Albertsons 3925 236Th Ave NE Redmond WA,Redmond,WA,Volta,Free,2022-01-11
22528,"The Point Casino Hotel, Kingston WA",Kingston,WA,Volta,Free,2022-01-11
22529,Safeway 1401 N.e. Mcwilliams,Bremerton,WA,Volta,Free,2022-01-11
22455,SAN JOSE SENTER GW,San Jose,CA,ChargePoint Network,Free,2022-01-11
22454,BXP SMBP 3420 STATION 02,Santa Monica,CA,ChargePoint Network,Free,2022-01-11
22530,Rivergate Shopping Center DCFC,Rancho Cordova,CA,Volta,Free,2022-01-11
22531,"Kohl's, Vallejo CA",Vallejo,CA,Volta,Free,2022-01-11
22462,CBU EVENTS CENTER 1,Riverside,CA,ChargePoint Network,Free,2022-01-11
22533,Pembroke Center Plaza,Pembroke,MA,Volta,Free,2022-01-11
22453,BXP SMBP 3420 STATION 01,Santa Monica,CA,ChargePoint Network,Free,2022-01-11
30749,The Madison Apartments-Clubhouse,Castle Pines,CO,Blink Network,Free,2022-01-11
34842,Carter Glen Condominium,Orlando,FL,Blink Network,Free,2022-01-11
22526,Globe Life Park in Arlington Lot W,Arlington,TX,Volta,Free,2022-01-11
22468,Hyatt Place Columbus/Dublin,Dublin,OH,Blink Network,Free,2022-01-11
22460,AUB CHERRY MAG 02,Auburn,CA,ChargePoint Network,Free,2022-01-11
22487,CENTURY PARK AOS EV BAY 6,Los Angeles,CA,ChargePoint Network,Free,2022-01-12
34661,The Sanctuary,Orlando,FL,Blink Network,Free,2022-01-12
22470,GARNET HILL LOG HOUSE #2,North River,NY,ChargePoint Network,Free,2022-01-12
22485,CITY OF BOSTON MUNI LOT 05 #1,Boston,MA,ChargePoint Network,Free,2022-01-12
22480,GHMC PARKINGGARAGE7,Middletown,NY,ChargePoint Network,Free,2022-01-12
22479,GHMC PARKINGGARAGE10,Middletown,NY,ChargePoint Network,Free,2022-01-12
22483,CENTURY PARK 2029 EV 54,Los Angeles,CA,ChargePoint Network,Free,2022-01-12
22478,ESSEX 420 STATION,San Mateo,CA,ChargePoint Network,Free,2022-01-12
22477,FAST FUEL 2 STATION 2,Olympia,WA,ChargePoint Network,Free,2022-01-12
22481,GHMC PARKINGGARAGE9,Middletown,NY,ChargePoint Network,Free,2022-01-12
22484,CENTURY PARK AOS EV BAY 3-4,Los Angeles,CA,ChargePoint Network,Free,2022-01-12
22482,GHMC PARKINGGARAGE8,Middletown,NY,ChargePoint Network,Free,2022-01-12
22476,MEMORIAL CITY MCKINLEY 3,Houston,TX,ChargePoint Network,Free,2022-01-12
22475,NEWARK CIVICCTR NEWARK GW 5,Newark,CA,ChargePoint Network,Free,2022-01-12
22474,NEWARK CIVICCTR NEWARK GW 4,Newark,CA,ChargePoint Network,Free,2022-01-12
22488,CENTURY PARK AOS EV BAY 5-7,Los Angeles,CA,ChargePoint Network,Free,2022-01-12
22486,CITY OF BOSTON MUNI LOT 05 #2,Boston,MA,ChargePoint Network,Free,2022-01-12
22473,NEWARK CIVICCTR NEWARK GW 3,Newark,CA,ChargePoint Network,Free,2022-01-12
22472,NEWARK CIVICCTR NEWARK GW 2,Newark,CA,ChargePoint Network,Free,2022-01-12
22471,NEWARK CIVICCTR NEWARK GW,Newark,CA,ChargePoint Network,Free,2022-01-12
22469,GARNET HILL LOG HOUSE #1,North River,NY,ChargePoint Network,Free,2022-01-12
22489,33-10 Queens Blvd,Queens,NY,FLO,Free,2022-01-12
22503,Oregon District Public Parking,Dayton,OH,FLO,Free,2022-01-13
22505,Infinity Hammock Bay West,Freeport,FL,Blink Network,Free,2022-01-13
22501,INN AT THE COVE STATION 1,Pismo Beach,CA,ChargePoint Network,Free,2022-01-13
22500,TREGANZA PARK A01 A02,Lemon Grove,CA,ChargePoint Network,Free,2022-01-13
22496,APPLE TA16 B1 7,Cupertino,CA,ChargePoint Network,Free,2022-01-13
22498,PRESTONCREEK PC-1,Plano,TX,ChargePoint Network,Free,2022-01-13
22497,PICOTTE PARK PLACE 1,Colonie,NY,ChargePoint Network,Free,2022-01-13
22495,APPLE TA16 B1 9,Cupertino,CA,ChargePoint Network,Free,2022-01-13
22494,BEXLEY STATION 1,Land O' Lakes,FL,ChargePoint Network,Free,2022-01-13
22493,APPLE TA16 B1 8,Cupertino,CA,ChargePoint Network,Free,2022-01-13
26140,Torrey Point,San Diego,CA,Blink Network,$1.50-$2.00/Hr Variable Parking Fee,2022-01-13
22499,TREGANZA PARK A03 A04,Lemon Grove,CA,ChargePoint Network,Free,2022-01-13
22502,DS-28,Los Angeles,CA,SHELL_RECHARGE,Free,2022-01-13
22642,Safeway 19651 Hwy 2,Monroe,WA,Volta,Free,2022-01-14
25561,301 E. 79th St.,New York,NY,LIVINGSTON,Free,2022-01-14
22508,LINK 59 LINK 59 BUILDNG,Cleveland,OH,ChargePoint Network,Free,2022-01-14
25567,Scarsdale Commons,Scarsdale,NY,LIVINGSTON,Free,2022-01-14
22515,HIGHWAY ADP1,Ballston,NY,ChargePoint Network,Free,2022-01-14
22507,OAK HILL ST 1&2 OAK HILL 1,Austin,TX,ChargePoint Network,Free,2022-01-14
22517,8 N PLAINS RURAL ACTION,The Plains,OH,ChargePoint Network,Free,2022-01-14
22518,VIP LOT STATION1,Kirkwood,CA,ChargePoint Network,Free,2022-01-14
22514,EBRPD DUMBARTON S 5,Fremont,CA,ChargePoint Network,Free,2022-01-14
22516,HIGHWAY ADP2,Ballston,NY,ChargePoint Network,Free,2022-01-14
22512,EBRPD DUMBARTON N 2,Fremont,CA,ChargePoint Network,Free,2022-01-14
22511,ENERGICA ROBS DYNO SERV,Gardner,MA,ChargePoint Network,Free,2022-01-14
22510,PATRON STATION1,Lindenhurst,NY,ChargePoint Network,Free,2022-01-14
22509,PATRON STATION2,Lindenhurst,NY,ChargePoint Network,Free,2022-01-14
22513,EBRPD DUMBARTON S 4,Fremont,CA,ChargePoint Network,Free,2022-01-14
22506,GERMAIN VW KIA DELIVERY,Columbus,OH,ChargePoint Network,Free,2022-01-14
22587,TOPANGA STATION 5,Los Angeles,CA,ChargePoint Network,Free,2022-01-15
22594,FEATHER RIVER FEATHER RIVER,Stockton,CA,ChargePoint Network,Free,2022-01-15
22593,604 MAHONING STATION 1,Youngstown,OH,ChargePoint Network,Free,2022-01-15
22592,604 MAHONING STATION 2,Youngstown,OH,ChargePoint Network,Free,2022-01-15
22591,VIP LOT STATION 2,Kirkwood,CA,ChargePoint Network,Free,2022-01-15
22590,604 MAHONING STATION 3,Youngstown,OH,ChargePoint Network,Free,2022-01-15
22589,OBE POWER STELLAR EMHILLS,Dania,FL,ChargePoint Network,Free,2022-01-15
22588,TOPANGA STATION 3,Los Angeles,CA,ChargePoint Network,Free,2022-01-15
22570,1381 CLYDE CLYDE MORRIS LA,Daytona Beach,FL,ChargePoint Network,Free,2022-01-15
22585,TOPANGA STATION 11,Los Angeles,CA,ChargePoint Network,Free,2022-01-15
25527,Windham Mountain,Windham,NY,LIVINGSTON,Free,2022-01-15
22564,SPORTS CENTER SPORTS CENTER E,Ladera Ranch,CA,ChargePoint Network,Free,2022-01-15
22572,CREEKWALK CREEKWALK GW 4,Colorado Springs,CO,ChargePoint Network,Free,2022-01-15
22573,INN SQ INN SQ GW 2,Rochester,NY,ChargePoint Network,Free,2022-01-15
22569,CAJON VALLEY DO A05 A06,El Cajon,CA,ChargePoint Network,Free,2022-01-15
22574,6263 TOPANGA SPACE 308,Los Angeles,CA,ChargePoint Network,Free,2022-01-15
22575,INN SQ INN SQ GW 4,Rochester,NY,ChargePoint Network,Free,2022-01-15
22576,INN SQ INN SQ GW 1,Rochester,NY,ChargePoint Network,Free,2022-01-15
22565,VICTORY STATION 1,Vista,CA,ChargePoint Network,Free,2022-01-15
22571,CREEKWALK CREEKWALK GW 3,Colorado Springs,CO,ChargePoint Network,Free,2022-01-15
22566,VICTORY STATION 2,Vista,CA,ChargePoint Network,Free,2022-01-15
22577,CAJON VALLEY DO A03 A04,El Cajon,CA,ChargePoint Network,Free,2022-01-15
22567,PIE AE HEB 6EA1,Austin,TX,ChargePoint Network,Free,2022-01-15
22584,TOPANGA STATION 10,Los Angeles,CA,ChargePoint Network,Free,2022-01-15
22583,RRH STATION 2,Clifton Springs,NY,ChargePoint Network,Free,2022-01-15
22582,INN SQ INN SQ GW 3,Rochester,NY,ChargePoint Network,Free,2022-01-15
22580,CREEKWALK CREEKWALK GW 1,Colorado Springs,CO,ChargePoint Network,Free,2022-01-15
22579,CAJON VALLEY DO A01,El Cajon,CA,ChargePoint Network,Free,2022-01-15
22581,CREEKWALK CREEKWALK GW 2,Colorado Springs,CO,ChargePoint Network,Free,2022-01-15
22568,HQ STATION 5 SAN DIEGO 1,San Diego,CA,ChargePoint Network,Free,2022-01-15
22578,CAJON VALLEY DO A02,El Cajon,CA,ChargePoint Network,Free,2022-01-15
22586,TOPANGA STATION 9,Los Angeles,CA,ChargePoint Network,Free,2022-01-15
22595,RED ROCK KIA RRK LEVEL 2,Grand Junction,CO,ChargePoint Network,Free,2022-01-16
22596,TSM TSM 5 - TSM 6,Santa Maria,CA,ChargePoint Network,Free,2022-01-17
22644,Stop & Shop 89 French King Highway,Greenfield,MA,Volta,Free,2022-01-18
22641,Stonestown Galleria Whole Foods,San Francisco,CA,Volta,Free,2022-01-18
22643,Summit Country Center,Puyallup,WA,Volta,Free,2022-01-18
22640,Stonestown Galleria Peet's,San Francisco,CA,Volta,Free,2022-01-18
22946,Stonestown Galleria DCFC,San Francisco,CA,Volta,Free,2022-01-18
22645,Stop & Shop 1282 Springfield Street,Feeding Hills,MA,Volta,Free,2022-01-18
22597,BPRT #1 STATION 1,Blue Point,NY,ChargePoint Network,Free,2022-01-18
22598,DICICCOS SHDARM STATION 1,Fresno,CA,ChargePoint Network,Free,2022-01-18
22599,QUICK RUN STATION 1,Orlando,FL,ChargePoint Network,Free,2022-01-18
22600,GRAND VAIL ST1 DC STATION 1,Vail,CO,ChargePoint Network,Free,2022-01-18
22609,CITYOFGREEN CAB 1,Uniontown,OH,ChargePoint Network,Free,2022-01-19
22610,CITYOFGREEN CAB 2,Uniontown,OH,ChargePoint Network,Free,2022-01-19
22611,LAKEWOOD WEST END GATEWY,Lakewood,OH,ChargePoint Network,Free,2022-01-19
22612,QUALITY INN QUALITY 1,Marianna,FL,ChargePoint Network,Free,2022-01-19
30677,Candlewood Suites - Fort Worth/West,White Settlement,TX,UNIVERSAL,Free,2022-01-19
22613,FPL EVOLUTION SEMINOLEJUSTIC2,Sanford,FL,ChargePoint Network,Free,2022-01-19
22614,PIONEER L5 3,Irving,TX,ChargePoint Network,Free,2022-01-19
24476,Wellington Woods Condominiums,Medford,MA,Blink Network,Free,2022-01-19
25562,550 W. 45th St.,New York,NY,LIVINGSTON,Free,2022-01-19
22622,MANTOWN01944 STATION1,Manchester-by-the-Sea,MA,ChargePoint Network,Free,2022-01-20
27342,Homewood Suites Jacksonville South St Johns Center,Jacksonville,FL,eVgo Network,Free,2022-01-20
22617,VALET EV NORTH VALET,Highland Beach,FL,ChargePoint Network,Free,2022-01-20
22618,LSE - HOTELS STATION #3,San Diego,CA,ChargePoint Network,Free,2022-01-20
22716,Houston Engineering Center,Houston,TX,Blink Network,Free,2022-01-20
22629,"Shopcore One Colorado (Pasadena, CA)",Pasadena,CA,Electrify America,Free,2022-01-20
22619,LSE - HOTELS HOTEL #2,San Diego,CA,ChargePoint Network,Free,2022-01-20
22628,WIG EV GOLDSMITH&HULL,Los Angeles,CA,ChargePoint Network,Free,2022-01-20
22627,SAN MANUEL SMC GW 1,Highland,CA,ChargePoint Network,Free,2022-01-20
22626,SAN MANUEL SMC GW 4,Highland,CA,ChargePoint Network,Free,2022-01-20
22625,SAN MANUEL SMC GW 5,Highland,CA,ChargePoint Network,Free,2022-01-20
22624,SAN MANUEL SMC GW 3,Highland,CA,ChargePoint Network,Free,2022-01-20
22623,CAJON VALLEY DO A07 A08,El Cajon,CA,ChargePoint Network,Free,2022-01-20
22621,WINDSORMERIDIAN MAIN SHOP,Englewood,CO,ChargePoint Network,Free,2022-01-20
22620,BAHAY ALEXAN BAHAY 3,Los Angeles,CA,ChargePoint Network,Free,2022-01-20
